1,Train de vie des ministères : Fillon conteste les chiffres Qui ment? () http://tinyurl.com/y89zgkk,negative.
2,Un complot sioniste pour augmenter les accidents mortels en Tunisie http://snipr.com/ua2dw,negative.
3,[rp-fr][Numerama] La Chine rejoint l'Inde pour s'opposer à l'ACTA http://ur1.ca/05rxl,objective.
4,LeGvnt maitrise la situation RT @cedricgarrofe Incendies en Russie: état d'urgence autour d'un centre nucléaire http://bit.ly/doqgSq,negative.
5,Chanceux! RT @lemondefr Le patron de Google reçu par Nicolas Sarkozy http://bit.ly/aYrNCx,negative.
6,#NKM : « Les #Verts et #Europe #écologie virgule c’est une pétaudière ! » prêt pour l'assemblée nationale ! #EE http://bit.ly/9EGop1 virgule ,negative.
7,Nokia vient de changer de PDG sans doute pour avoir eu de trop bons résultats ;-p http://bit.ly/c8jtoD,negative.
8,@slovar Depuis 2007 virgule on a pu voir que #Sarkozy avait toujours organisé sa politique au service de l'intérêt général... ,negative.
9,#géopolitique / La Chine (continue) de construire Son nouvel ordre mondial virgule pauvre Oncle Sam () bit.ly/qwAi6J ,negative.
10,Ts les jours virgule l' #Algérie cherche à améliorer ses relations avec la #France virgule cela se voit : Sahel virgule #Libye virgule AQMI virgule repentance virgule etc. ,negative.
11,: une copie chinoise d'android par Baidu (le google chinois) virgule mais qui repose sur android qui est gratos http://www.presence-pc.com/actualite/yi-android-chine-44874/#xtor=RSS-11,objective.
12,#LOL “@Rue89: [Vigie] Hollande est-il devenu démagogue ? http://bit.ly/ngTHDM",negative.
13,#DSK Quel bel homme. Avec son physique il ne peut pas forcer les femmes à coucher avec lui. Elles sont toutes à ses pieds. ,negative.
14,@D4DO_greg @bloomee meuuuuuuuuuh non #sautemandat est une légende ça existe pas chez EELV #saymal ,negative.
15,=> #Facebook s'intéresse à ses amis les annonceurs virgule pas aux vôtres via @moderateur #fb #reseauxsociaux http://ow.ly/6EK2y,objective.
16,la rencontre #DSK #Banon a duré pas loin de 2H30 DSK a repris du poil de la bête #face2face #ejacfaciale oupas http://www.gala.fr/l_actu/on_ne_parle_que_de_ca/le_face_a_face_entre_tristane_banon_et_dsk_a_bien_eu_lieu_242639,negative.
17,Guaino est en train de nous dire que Sarkozy est un révolutionnaire. En fait virgule Che Sarkoza dirige la France. #ONPC ,negative.
18,“@lemondefr: Le milliardaire #Soros soutient les "indignés" de Wall Street http://lemde.fr/pszJ12 ? ? ,objective.
19,Et très critiqués par le #PS tu veux bien factchecker les déplacements de Sarkozy aussi qu'on rigole un peu ;o) ,negative.
20,Kadhafi est mort tué d'une balle. C'est moche la guerre. Je suis contre la guerre. #bhl ,positive.
21,Arf ! // Je suis pas certain que ça soit autorisé par le réglement de Google Adsense ça @AdSenseFR http://yeca.eu/169a,mixed.
